Episode,Global step,Critic1 Loss,Critic2 Loss,Actor Loss
19,1007,1618.5517578125,1664.89013671875,
19,2014,1266.2703857421875,1241.07373046875,7.63699197769165
19,3002,1075.1947021484375,1045.3787841796875,12.334487915039062
19,4009,935.1044921875,906.833251953125,17.95201301574707
19,5016,623.9000854492188,604.0776977539062,24.712970733642578
19,6004,512.3778686523438,499.53839111328125,32.03752136230469
19,7011,359.5126953125,351.71826171875,40.095359802246094
19,8018,265.61175537109375,263.6422424316406,49.19327926635742
19,9006,290.9331970214844,288.3167724609375,54.8254508972168
19,10013,239.62371826171875,237.43716430664062,52.287593841552734
19,11001,205.54551696777344,202.55221557617188,50.20719528198242
19,12008,189.73788452148438,178.14572143554688,48.674720764160156
19,13015,166.0062255859375,168.58984375,48.675628662109375
19,14003,162.4502716064453,159.69789123535156,54.051143646240234
19,15010,166.94039916992188,171.18746948242188,57.42152404785156
19,16017,134.68031311035156,122.147705078125,64.22144317626953
19,17005,135.4525146484375,133.4342041015625,67.23590087890625
19,18012,142.61868286132812,141.08383178710938,71.3206558227539
19,19000,135.36737060546875,133.55184936523438,74.26544952392578
19,20007,128.50942993164062,127.94539642333984,81.34256744384766
19,21014,119.25265502929688,116.4739990234375,80.69860076904297
19,22002,113.74681091308594,115.48116302490234,84.81436157226562
19,23009,127.57330322265625,125.4271240234375,87.92561340332031
19,24016,136.2848663330078,135.90806579589844,89.32257080078125
19,25004,130.85206604003906,133.5806121826172,93.84619140625
19,26011,116.98384094238281,123.64262390136719,96.88419342041016
19,27018,127.10067749023438,125.69991302490234,100.34101104736328
19,28006,114.27069854736328,115.89306640625,99.5280990600586
19,29013,121.61124420166016,123.24021911621094,103.4525146484375
19,30001,114.89401245117188,124.38489532470703,107.4082260131836
19,31008,136.43528747558594,128.8773193359375,107.6902084350586
19,32015,136.32411193847656,128.95889282226562,110.90326690673828
19,33003,118.33395385742188,125.03238677978516,112.69644927978516
19,34010,124.61747741699219,121.69152069091797,115.76129150390625
19,35017,122.78007507324219,129.30874633789062,114.16493225097656
19,36005,118.51669311523438,118.35009765625,118.38087463378906
19,37012,131.45074462890625,120.67264556884766,118.93463897705078
38,38000,161.85780334472656,155.48373413085938,121.53097534179688
38,39007,136.6510772705078,124.99504089355469,121.65193176269531
38,40014,125.8378677368164,132.94766235351562,125.19461822509766
38,41002,141.0540008544922,141.8142852783203,127.03118896484375
38,42009,125.46073913574219,128.9004669189453,129.03314208984375
