Episode,Global step,Critic1 Loss,Critic2 Loss,Actor Loss
38,19000,37.77886199951172,35.875362396240234,27.164091110229492
57,38000,67.99272918701172,65.36088562011719,39.0296516418457
79,57000,83.0240478515625,82.21813201904297,51.5347785949707
117,76000,84.29279327392578,87.91449737548828,64.3406982421875
152,95000,89.62692260742188,80.35249328613281,75.89726257324219
176,114000,94.77168273925781,99.40016174316406,82.38314056396484
211,133000,88.94812774658203,87.78897094726562,90.31285858154297
231,152000,70.1090087890625,70.47663116455078,99.1283187866211
269,171000,55.50489044189453,55.77559280395508,106.8113784790039
288,190000,55.46111297607422,61.62178421020508,112.36031341552734
326,209000,107.70104217529297,117.31826782226562,117.76478576660156
345,228000,61.511634826660156,69.54278564453125,123.78981018066406
364,247000,61.8501091003418,66.8887710571289,129.61997985839844
402,266000,77.32621765136719,82.5072250366211,134.36204528808594
421,285000,72.92245483398438,57.96397399902344,140.68289184570312
459,304000,44.836307525634766,43.62963104248047,147.34817504882812
497,323000,56.9384651184082,53.73674011230469,150.97698974609375
516,342000,62.95582962036133,81.25975036621094,154.39471435546875
535,361000,57.32334899902344,50.4670524597168,160.3799285888672
573,380000,78.73664093017578,102.70989990234375,165.16661071777344
611,399000,70.21414184570312,71.19241333007812,169.64793395996094
630,418000,99.54350280761719,104.52481079101562,173.0133514404297
668,437000,85.29212951660156,71.59840393066406,178.7274932861328
687,456000,140.03494262695312,134.59945678710938,182.60302734375
725,475000,151.1711883544922,152.0452423095703,187.47911071777344
763,494000,100.99444580078125,115.72392272949219,191.1553955078125
782,513000,61.4041748046875,61.047203063964844,197.08285522460938
820,532000,67.71694946289062,72.09272766113281,199.2610626220703
839,551000,129.13681030273438,132.10443115234375,203.74964904785156
877,570000,98.482421875,84.7222671508789,209.1287384033203
934,589000,119.06167602539062,96.38924407958984,211.7937469482422
953,608000,222.03286743164062,207.2446746826172,215.8395233154297
998,627000,92.04114532470703,86.75176239013672,220.1595916748047
1017,646000,114.83786010742188,113.92203521728516,223.69288635253906
1036,665000,112.81282043457031,103.28545379638672,227.96800231933594
1074,684000,129.05300903320312,125.0787353515625,231.8152618408203
1093,703000,56.49968719482422,59.843505859375,235.63954162597656
1131,722000,198.0760040283203,196.92526245117188,240.26004028320312
1169,741000,87.33106231689453,84.19914245605469,244.75067138671875
1188,760000,76.57017517089844,76.38175201416016,247.96018981933594
1226,779000,81.51077270507812,91.53509521484375,251.5418701171875
1264,798000,82.70462799072266,49.679039001464844,256.4279479980469
1302,817000,220.93560791015625,257.3817138671875,257.4749755859375
1321,836000,292.171875,277.73468017578125,261.1763000488281
1359,855000,208.3497772216797,206.0750732421875,266.11724853515625
1397,874000,127.5033950805664,111.5135269165039,267.5370788574219
1416,893000,289.9112548828125,270.208251953125,271.9128723144531
1454,912000,98.37847137451172,130.94229125976562,275.1139831542969
1492,931000,91.78412628173828,125.69668579101562,277.1821594238281
1530,950000,158.60081481933594,149.46913146972656,276.4434814453125
1568,969000,172.16183471679688,179.27732849121094,280.5011291503906
1587,988000,169.97055053710938,92.03716278076172,284.6856384277344
1625,1007000,111.91088104248047,128.10968017578125,287.7864990234375
1663,1026000,261.1775207519531,197.45907592773438,289.3669128417969
1701,1045000,91.25640869140625,111.64578247070312,291.96630859375
1739,1064000,181.01223754882812,207.43138122558594,294.6669921875
1777,1083000,450.739013671875,498.65875244140625,295.4145812988281
1815,1102000,103.91465759277344,101.21720886230469,298.14129638671875
1834,1121000,208.67550659179688,209.69778442382812,301.09039306640625
1872,1140000,157.20074462890625,165.198486328125,302.144287109375
1910,1159000,193.6197509765625,183.16455078125,303.0496520996094
1929,1178000,134.4163360595703,70.22869873046875,306.0204162597656
1967,1197000,176.9332275390625,226.2106170654297,304.8907470703125
2005,1216000,101.57360076904297,93.86048126220703,306.4837341308594
2043,1235000,154.1187744140625,153.8539276123047,307.99920654296875
2081,1254000,224.26321411132812,280.521484375,307.68939208984375
2119,1273000,214.49249267578125,214.29324340820312,311.042236328125
2157,1292000,75.00228881835938,74.60777282714844,313.1841125488281
2195,1311000,404.64263916015625,341.0077819824219,313.6262512207031
2233,1330000,327.094970703125,303.7466735839844,313.2276306152344
2271,1349000,91.79283142089844,84.30235290527344,313.97052001953125
2309,1368000,167.49932861328125,181.34423828125,315.08673095703125
2347,1387000,285.814697265625,292.51348876953125,318.24713134765625
2385,1406000,324.84954833984375,298.03094482421875,314.9592590332031
2423,1425000,280.210693359375,241.71054077148438,315.1858215332031
2461,1444000,280.9290771484375,294.5772705078125,319.43292236328125
2506,1463000,690.2258911132812,545.173583984375,318.96942138671875
2544,1482000,297.37652587890625,300.74407958984375,318.8412780761719
2575,1501000,277.110595703125,265.8641052246094,317.8704833984375
2613,1520000,167.9604034423828,172.755859375,320.18426513671875
2658,1539000,172.92181396484375,173.54547119140625,320.8929138183594
2696,1558000,183.94094848632812,142.02789306640625,320.19842529296875
2723,1577000,292.41278076171875,445.5320739746094,319.43328857421875
2761,1596000,164.36474609375,200.82235717773438,322.5001525878906
2799,1615000,111.49748992919922,91.75746154785156,322.66143798828125
2837,1634000,212.85012817382812,202.79437255859375,324.41265869140625
2875,1653000,112.55729675292969,123.70516204833984,323.77532958984375
2913,1672000,299.10906982421875,304.8765869140625,323.6837158203125
2948,1691000,263.65594482421875,439.39404296875,325.1242370605469
2989,1710000,533.5270385742188,427.09808349609375,326.6619873046875
3027,1729000,238.5003204345703,215.29910278320312,323.7923889160156
3062,1748000,224.3848876953125,205.69635009765625,325.9740905761719
3100,1767000,240.334228515625,233.22085571289062,325.6251525878906
3138,1786000,287.14764404296875,306.4988098144531,327.53363037109375
3157,1805000,458.7821044921875,412.2689208984375,330.2038269042969
3195,1824000,179.02378845214844,182.09609985351562,328.87213134765625
3252,1843000,355.4803771972656,312.37518310546875,329.6791076660156
3290,1862000,91.46769714355469,194.74484252929688,332.2015686035156
3328,1881000,95.64839935302734,112.62287902832031,329.6895751953125
3385,1900000,196.48159790039062,192.47802734375,332.99267578125
3423,1919000,232.3759765625,204.4373779296875,329.6493835449219
3461,1938000,243.04855346679688,232.57281494140625,332.1153869628906
3480,1957000,191.52548217773438,189.22515869140625,331.1315002441406
3518,1976000,226.22003173828125,267.5560607910156,332.07427978515625
3556,1995000,112.67009735107422,121.20623779296875,334.2730712890625
3594,2014000,111.76339721679688,103.66624450683594,335.7868347167969
3632,2033000,112.45206451416016,248.07077026367188,334.7125244140625
3670,2052000,252.18533325195312,249.57574462890625,333.71612548828125
3708,2071000,177.68551635742188,168.18295288085938,336.6908874511719
3746,2090000,116.9094467163086,139.33070373535156,336.5009765625
3784,2109000,287.3408508300781,227.4922637939453,337.72576904296875
3822,2128000,112.45140075683594,138.1065216064453,339.77532958984375
3860,2147000,224.02073669433594,202.60159301757812,338.689208984375
3898,2166000,545.869140625,486.4747314453125,340.10113525390625
3936,2185000,112.14044952392578,125.05867004394531,340.3467712402344
3974,2204000,394.8572082519531,355.94219970703125,342.3710632324219
4012,2223000,245.16744995117188,133.88104248046875,341.478515625
4069,2242000,152.1707763671875,158.17091369628906,343.5269775390625
