Episode,Global step,Critic1 Loss,Critic2 Loss,Actor Loss
19,1007,1619.2845458984375,1570.147705078125,
19,2014,1265.8187255859375,1246.60595703125,7.461101531982422
19,3002,1042.1273193359375,1010.2037353515625,12.008886337280273
19,4009,853.0174560546875,811.7002563476562,17.379560470581055
19,5016,647.75341796875,601.6883544921875,23.802654266357422
19,6004,495.087890625,451.55322265625,30.739200592041016
19,7011,436.4157409667969,393.859130859375,38.357486724853516
19,8018,313.74554443359375,300.936279296875,46.94010925292969
19,9006,304.8364562988281,291.38067626953125,53.86717987060547
19,10013,245.52633666992188,216.89376831054688,55.5633430480957
19,11001,219.57296752929688,204.13909912109375,48.46842956542969
19,12008,180.24911499023438,161.0047607421875,45.280948638916016
19,13015,190.36001586914062,175.6536865234375,47.39740753173828
19,14003,158.6572723388672,144.20916748046875,52.301517486572266
19,15010,153.43887329101562,144.69683837890625,58.64625549316406
19,16017,133.5799560546875,125.5390625,61.754173278808594
19,17005,128.46034240722656,120.5992431640625,66.1792984008789
19,18012,112.27301788330078,103.97795104980469,71.85220336914062
19,19000,131.67437744140625,125.29190826416016,75.4750747680664
19,20007,122.18672180175781,117.86497497558594,78.24437713623047
19,21014,107.54679870605469,100.16123962402344,81.59004974365234
19,22002,133.74697875976562,130.0288848876953,86.70518493652344
19,23009,137.1543426513672,132.92481994628906,86.72333526611328
19,24016,132.06521606445312,128.78961181640625,92.87267303466797
19,25004,129.26248168945312,132.279296875,94.01185607910156
19,26011,128.4478302001953,127.87683868408203,96.60011291503906
19,27018,122.91529846191406,121.61641693115234,99.14131927490234
19,28006,157.66278076171875,148.7438507080078,102.21019744873047
19,29013,145.4800567626953,138.3123779296875,104.26390838623047
19,30001,138.38217163085938,140.52081298828125,106.21146392822266
19,31008,144.35060119628906,136.67112731933594,109.16158294677734
19,32015,140.8852081298828,132.1993408203125,109.42185974121094
19,33003,133.5407257080078,136.11019897460938,115.28658294677734
19,34010,138.99757385253906,136.27133178710938,117.07821655273438
19,35017,148.82296752929688,139.5811767578125,119.4497299194336
19,36005,147.4765625,129.5401611328125,118.61521911621094
19,37012,142.7449188232422,139.13092041015625,123.39310455322266
38,38000,150.96734619140625,142.3846435546875,124.94093322753906
38,39007,130.88104248046875,124.09988403320312,127.80545043945312
38,40014,142.27027893066406,148.76385498046875,129.57632446289062
38,41002,157.52413940429688,156.1319122314453,132.9408416748047
38,42009,143.8740234375,136.51934814453125,134.26406860351562
38,43016,143.62684631347656,135.2126922607422,137.21810913085938
38,44004,147.99264526367188,150.84730529785156,138.2517852783203
38,45011,135.50747680664062,126.48249816894531,139.76589965820312
38,46018,152.93212890625,147.77655029296875,142.6457061767578
38,47006,122.88976287841797,124.52865600585938,145.92079162597656
38,48013,145.86807250976562,149.81407165527344,146.33609008789062
38,49001,153.38885498046875,145.78369140625,149.91702270507812
38,50008,134.78598022460938,132.5098419189453,152.49661254882812
38,51015,134.87118530273438,134.23147583007812,154.79483032226562
38,52003,132.0587615966797,137.32229614257812,157.5020294189453
38,53010,128.0084991455078,128.6968231201172,157.1094207763672
38,54017,120.47705078125,124.54450988769531,160.86708068847656
38,55005,140.08328247070312,133.4269561767578,162.260009765625
38,56012,126.63453674316406,123.8218765258789,162.91261291503906
38,57000,128.29759216308594,122.92862701416016,168.0246124267578
38,58007,144.4102020263672,130.13418579101562,169.15911865234375
38,59014,117.87639617919922,118.21307373046875,171.6374053955078
38,60002,121.79812622070312,122.56300354003906,171.59573364257812
38,61009,124.8184814453125,125.71739196777344,174.73414611816406
38,62016,121.21743774414062,118.38316345214844,176.66787719726562
38,63004,127.95710754394531,123.0042724609375,178.683349609375
38,64011,127.86941528320312,126.12522888183594,181.3885498046875
38,65018,121.94889831542969,119.81364440917969,182.267578125
38,66006,118.94943237304688,120.65144348144531,185.19921875
