Episode,Global step,Critic1 Loss,Critic2 Loss,Actor Loss
19,1007,233.1197052001953,237.9813232421875,
19,2014,134.3201904296875,137.41502380371094,7.9255499839782715
19,3002,86.1621322631836,87.18185424804688,12.606534004211426
19,4009,73.88280487060547,73.91835021972656,17.975631713867188
19,5016,61.60449981689453,62.274139404296875,20.17576026916504
19,6004,54.21973419189453,58.73533630371094,20.726491928100586
19,7011,45.471595764160156,52.01095199584961,21.7429256439209
19,8018,36.65972900390625,39.64445495605469,22.893556594848633
19,9006,31.474563598632812,33.138221740722656,23.570276260375977
19,10013,31.010746002197266,30.90910530090332,24.191923141479492
21,11001,39.014190673828125,41.78358459472656,24.255136489868164
22,12008,30.205928802490234,33.61248779296875,24.48809051513672
22,13015,28.252899169921875,34.72333908081055,24.18341827392578
22,14003,34.43415832519531,37.046043395996094,24.38175392150879
22,15010,34.38927459716797,39.15062713623047,25.23811149597168
25,16017,32.844932556152344,34.8475456237793,24.204256057739258
38,17005,32.42979431152344,39.32251739501953,28.2042236328125
38,18012,40.64666748046875,47.69950866699219,25.244979858398438
38,19000,46.571407318115234,47.298683166503906,27.539657592773438
38,20007,37.457359313964844,40.06945037841797,28.861392974853516
38,21014,44.57927703857422,42.4270133972168,29.15949821472168
38,22002,50.29343795776367,52.06268310546875,29.473947525024414
38,23009,43.86517333984375,41.887542724609375,31.657445907592773
39,24016,47.31975555419922,44.76146697998047,31.11076545715332
41,25004,57.965728759765625,53.76352310180664,31.19476890563965
44,26011,46.462745666503906,46.561614990234375,33.31813430786133
44,27018,68.56626892089844,69.17172241210938,33.165950775146484
44,28006,60.37803649902344,53.30496597290039,31.72917366027832
57,29013,62.05754852294922,62.191619873046875,33.27027130126953
57,30001,68.11516571044922,75.07572174072266,35.13513946533203
57,31008,75.6650161743164,70.0354995727539,33.09104919433594
57,32015,64.36131286621094,68.39644622802734,36.553924560546875
57,33003,55.94563293457031,53.734519958496094,36.7141227722168
57,34010,58.15582275390625,57.996280670166016,40.06005859375
57,35017,62.111873626708984,58.551883697509766,36.93669128417969
57,36005,80.68916320800781,78.77413177490234,38.11290740966797
57,37012,63.548248291015625,60.568145751953125,38.552581787109375
57,38000,93.42909240722656,83.12092590332031,39.72993469238281
57,39007,65.82632446289062,64.84956359863281,39.62042999267578
63,40014,67.88851928710938,69.8565673828125,41.39622497558594
63,41002,76.37347412109375,75.72654724121094,41.37918472290039
63,42009,76.42041015625,73.01839447021484,42.923152923583984
63,43016,74.3304672241211,79.89642333984375,41.43815994262695
63,44004,81.42964935302734,77.8780517578125,44.903690338134766
63,45011,65.99254608154297,68.56512451171875,44.50814437866211
76,46018,75.27957916259766,72.20863342285156,47.320068359375
76,47006,72.78994750976562,73.84944152832031,45.02451705932617
76,48013,73.33699798583984,70.57032775878906,47.25577163696289
76,49001,76.84375,79.94620513916016,48.74807357788086
76,50008,87.837890625,83.98297119140625,47.2055778503418
76,51015,71.6824951171875,77.583984375,51.66159439086914
82,52003,79.30431365966797,79.70954132080078,49.644466400146484
82,53010,80.38356018066406,92.55281066894531,48.64119338989258
82,54017,89.197998046875,88.74349975585938,51.507606506347656
82,55005,86.3265380859375,88.71952056884766,50.636539459228516
95,56012,76.9166030883789,76.65343475341797,51.22498321533203
95,57000,84.29777526855469,82.95289611816406,52.27121353149414
95,58007,87.7073974609375,76.90296936035156,54.80609130859375
95,59014,75.19783020019531,77.60539245605469,56.79928970336914
95,60002,87.31317138671875,82.7471694946289,55.67933654785156
95,61009,95.37055969238281,95.29833984375,52.993629455566406
101,62016,74.60921478271484,74.68511199951172,55.46524429321289
101,63004,84.490478515625,79.39029693603516,55.22089767456055
101,64011,99.48989868164062,91.86709594726562,55.81355285644531
101,65018,83.16387176513672,92.96427154541016,56.863162994384766
101,66006,72.15074157714844,65.1262435913086,59.291587829589844
101,67013,91.82034301757812,95.91249084472656,56.511959075927734
101,68001,81.56330871582031,83.61017608642578,57.70317077636719
101,69008,73.2862548828125,70.29248046875,60.504024505615234
114,70015,98.19223022460938,94.39083099365234,60.87656784057617
114,71003,78.61891174316406,74.77003479003906,60.173099517822266
120,72010,95.71450805664062,88.72779083251953,60.34950637817383
120,73017,71.75341796875,72.0123519897461,60.909454345703125
120,74005,84.39966583251953,79.49055480957031,62.85622024536133
120,75012,94.1212387084961,89.44231414794922,60.552528381347656
120,76000,93.75398254394531,99.25504302978516,61.751220703125
120,77007,96.56275177001953,103.57354736328125,64.14572143554688
120,78014,81.76229858398438,86.60469055175781,64.49279022216797
120,79002,88.40382385253906,86.40946960449219,64.34228515625
133,80009,81.47550964355469,82.39840698242188,65.21822357177734
133,81016,82.75314331054688,83.70223999023438,64.5417251586914
133,82004,100.24260711669922,100.58699798583984,66.12459564208984
135,83011,95.29631805419922,95.38124084472656,66.87664031982422
135,84018,82.14451599121094,85.00291442871094,66.59173583984375
135,85006,88.16191101074219,85.10023498535156,66.14013671875
139,86013,88.88831329345703,93.93867492675781,66.55982208251953
139,87001,99.81672668457031,86.99873352050781,68.26341247558594
139,88008,92.58955383300781,87.51634979248047,68.54591369628906
139,89015,75.57722473144531,74.1815185546875,69.47492218017578
139,90003,83.22831726074219,83.07481384277344,69.13359832763672
139,91010,83.87599182128906,84.09078979492188,70.5781478881836
139,92017,86.15303039550781,93.72389221191406,70.47087860107422
139,93005,92.55708312988281,90.58914184570312,70.56101989746094
152,94012,92.98252868652344,94.27340698242188,71.59900665283203
154,95000,91.59722137451172,93.61775970458984,73.42359161376953
158,96007,76.81858825683594,71.4097671508789,72.00830841064453
158,97014,72.41620635986328,77.9588394165039,73.25898742675781
158,98002,66.8743896484375,75.63040161132812,72.41807556152344
158,99009,74.89189147949219,77.33269500732422,74.8834228515625
158,100016,66.45736694335938,68.69003295898438,74.88392639160156
158,101004,81.60005187988281,82.47994995117188,75.1569595336914
158,102011,72.95773315429688,79.68588256835938,75.39205932617188
158,103018,122.41928100585938,116.96509552001953,74.98590087890625
158,104006,100.58329772949219,93.08828735351562,75.3080062866211
171,105013,88.34033966064453,87.16197204589844,76.7819595336914
173,106001,81.74079132080078,90.10276794433594,78.23481750488281
177,107008,79.49998474121094,79.7482681274414,76.69086456298828
177,108015,74.05253601074219,72.39019775390625,76.8368148803711
177,109003,81.40231323242188,93.47881317138672,78.57127380371094
177,110010,102.87454223632812,100.03980255126953,79.2765121459961
177,111017,76.98316955566406,76.857421875,78.2555160522461
177,112005,80.08043670654297,87.79460144042969,81.83245849609375
177,113012,77.27754974365234,67.68891143798828,80.72149658203125
177,114000,114.9719009399414,119.41146850585938,79.35192108154297
177,115007,70.3503646850586,78.37869262695312,80.95394897460938
177,116014,82.61898040771484,74.27799224853516,81.51742553710938
192,117002,78.59078979492188,84.20453643798828,82.27526092529297
