Episode,Step,Reward,Discounted,Losses
132,737,-1387.6931381262839,6.050548381274479,"{'critic1_loss': 15.993139266967773, 'critic2_loss': 14.931391716003418, 'actor_loss': 35.899757385253906}"
133,854,-1505.4767725653946,-0.8029962923025019,"{'critic1_loss': 33.54235076904297, 'critic2_loss': 37.73390197753906, 'actor_loss': 35.495758056640625}"
134,656,-1233.9901541434228,19.07986428787866,"{'critic1_loss': 29.850282669067383, 'critic2_loss': 30.71526527404785, 'actor_loss': 35.69606018066406}"
135,788,-1485.7663491629064,18.216269759299298,"{'critic1_loss': 56.02647018432617, 'critic2_loss': 55.74171447753906, 'actor_loss': 31.98419189453125}"
136,794,-1339.5191305316985,6.754174871592044,"{'critic1_loss': 42.02470397949219, 'critic2_loss': 41.10667037963867, 'actor_loss': 35.36272430419922}"
137,720,-1471.9121381603181,4.347755424744107,"{'critic1_loss': 30.807353973388672, 'critic2_loss': 30.435903549194336, 'actor_loss': 35.6612434387207}"
138,660,-1316.27101495862,19.31520899609397,"{'critic1_loss': 63.77389907836914, 'critic2_loss': 63.984535217285156, 'actor_loss': 36.646400451660156}"
139,599,-1059.2551788277924,2.4422161950978443,"{'critic1_loss': 26.083126068115234, 'critic2_loss': 26.188186645507812, 'actor_loss': 38.8244743347168}"
140,603,-1117.0910180695355,10.342243140788657,"{'critic1_loss': 35.555870056152344, 'critic2_loss': 41.64451599121094, 'actor_loss': 37.744415283203125}"
141,652,-1262.0592665597796,22.135116222133448,"{'critic1_loss': 27.632600784301758, 'critic2_loss': 24.658401489257812, 'actor_loss': 35.884910583496094}"
142,620,-1137.5201636590064,-1.859123557491094,"{'critic1_loss': 37.0222053527832, 'critic2_loss': 35.42959213256836, 'actor_loss': 38.844329833984375}"
143,564,-691.5839976854622,1.9648001892670846,"{'critic1_loss': 18.672222137451172, 'critic2_loss': 17.462547302246094, 'actor_loss': 39.20191192626953}"
144,588,-681.3107503093779,11.100686684061268,"{'critic1_loss': 26.432270050048828, 'critic2_loss': 30.62690544128418, 'actor_loss': 37.77761459350586}"
145,704,-1324.3823902197182,2.935384738097376,"{'critic1_loss': 27.860774993896484, 'critic2_loss': 25.37350845336914, 'actor_loss': 36.83795928955078}"
146,660,-1333.6035477742553,11.555745883783189,"{'critic1_loss': 32.5402717590332, 'critic2_loss': 28.28559112548828, 'actor_loss': 40.92396545410156}"
147,702,-1415.0258099474013,7.025242648222915,"{'critic1_loss': 34.29731369018555, 'critic2_loss': 35.40380096435547, 'actor_loss': 39.22616958618164}"
148,670,-1291.286183077842,10.872148950228862,"{'critic1_loss': 24.648571014404297, 'critic2_loss': 25.149112701416016, 'actor_loss': 38.0055046081543}"
149,588,-707.293471544981,1.6698177629119682,"{'critic1_loss': 34.785865783691406, 'critic2_loss': 30.420734405517578, 'actor_loss': 39.966552734375}"
150,798,-1608.9068792499602,-0.8508853502406014,"{'critic1_loss': 52.15010070800781, 'critic2_loss': 49.00345230102539, 'actor_loss': 37.55292510986328}"
151,760,-1562.4797255843878,20.446080549498852,"{'critic1_loss': 42.4150276184082, 'critic2_loss': 43.2240104675293, 'actor_loss': 38.89019775390625}"
152,784,-1628.8966462649405,-2.2134282970819408,"{'critic1_loss': 32.50042724609375, 'critic2_loss': 30.850221633911133, 'actor_loss': 38.588375091552734}"
153,722,-1364.5016399510205,17.14340140564151,"{'critic1_loss': 38.031410217285156, 'critic2_loss': 39.33007049560547, 'actor_loss': 38.1707878112793}"
154,572,-661.2561636976898,9.904456488329764,"{'critic1_loss': 18.84575653076172, 'critic2_loss': 18.038068771362305, 'actor_loss': 38.90768051147461}"
155,586,-667.4809138029814,8.910832316149953,"{'critic1_loss': 33.157188415527344, 'critic2_loss': 35.867347717285156, 'actor_loss': 40.35436248779297}"
156,618,-1209.009000606835,21.523125538531726,"{'critic1_loss': 34.75535202026367, 'critic2_loss': 35.71172332763672, 'actor_loss': 39.53260803222656}"
157,655,-1192.632086303085,13.464160384326831,"{'critic1_loss': 32.432411193847656, 'critic2_loss': 31.992319107055664, 'actor_loss': 37.80865478515625}"
158,753,-1393.4134906716645,-2.595160950337612,"{'critic1_loss': 30.595951080322266, 'critic2_loss': 33.709632873535156, 'actor_loss': 41.647132873535156}"
159,778,-1521.3883218355477,0.462038613515644,"{'critic1_loss': 36.09546661376953, 'critic2_loss': 32.14997863769531, 'actor_loss': 40.19118881225586}"
160,681,-1288.070783186704,8.38741584774657,"{'critic1_loss': 45.23772048950195, 'critic2_loss': 43.85677719116211, 'actor_loss': 40.30445098876953}"
161,779,-1238.0456860847771,7.633756290292802,"{'critic1_loss': 16.024532318115234, 'critic2_loss': 16.13454818725586, 'actor_loss': 39.00367736816406}"
162,633,-1091.277619984001,15.294386248226616,"{'critic1_loss': 30.61368179321289, 'critic2_loss': 28.908273696899414, 'actor_loss': 39.47126770019531}"
163,632,-1233.507890317589,10.247771210949553,"{'critic1_loss': 42.33272171020508, 'critic2_loss': 39.719173431396484, 'actor_loss': 38.37969970703125}"
164,786,-1614.4546297825873,2.0613799721809256,"{'critic1_loss': 21.515295028686523, 'critic2_loss': 21.8575382232666, 'actor_loss': 38.25071716308594}"
165,680,-1363.1225444413722,12.13676450025317,"{'critic1_loss': 35.249961853027344, 'critic2_loss': 33.04705810546875, 'actor_loss': 39.34204864501953}"
166,634,-1199.246605888009,22.191235217414498,"{'critic1_loss': 67.18389892578125, 'critic2_loss': 69.9068603515625, 'actor_loss': 41.290130615234375}"
167,677,-1338.805723655969,7.522714213629296,"{'critic1_loss': 21.536083221435547, 'critic2_loss': 27.629621505737305, 'actor_loss': 40.488441467285156}"
168,631,-1204.043297201395,22.48357471720856,"{'critic1_loss': 23.719757080078125, 'critic2_loss': 19.71409797668457, 'actor_loss': 40.98351287841797}"
169,742,-1398.931576590985,-3.752365684468156,"{'critic1_loss': 24.14798355102539, 'critic2_loss': 22.825790405273438, 'actor_loss': 40.39306640625}"
170,619,-1139.458927128464,2.3868654212026077,"{'critic1_loss': 31.471755981445312, 'critic2_loss': 36.41539764404297, 'actor_loss': 39.85432434082031}"
171,638,-1228.5958840735257,16.50814629273762,"{'critic1_loss': 36.733482360839844, 'critic2_loss': 36.03306579589844, 'actor_loss': 41.69084930419922}"
172,704,-1384.2946285195649,19.677672724056446,"{'critic1_loss': 44.35338592529297, 'critic2_loss': 45.426979064941406, 'actor_loss': 41.24031066894531}"
173,676,-1371.219501066953,16.34178931034315,"{'critic1_loss': 44.836570739746094, 'critic2_loss': 49.14735794067383, 'actor_loss': 41.444313049316406}"
174,770,-1526.9900081679225,19.96472368087289,"{'critic1_loss': 35.28388214111328, 'critic2_loss': 35.80657958984375, 'actor_loss': 42.14908218383789}"
175,634,-1207.6566663607955,19.958571501687487,"{'critic1_loss': 18.90644073486328, 'critic2_loss': 18.36920166015625, 'actor_loss': 39.28403854370117}"
176,582,-1113.025793928653,7.064470827896885,"{'critic1_loss': 30.112529754638672, 'critic2_loss': 34.96417236328125, 'actor_loss': 40.3736457824707}"
177,706,-1359.9051215089858,6.376092833788477,"{'critic1_loss': 17.285205841064453, 'critic2_loss': 16.435832977294922, 'actor_loss': 40.068389892578125}"
178,660,-1193.5445113964379,8.057744112561833,"{'critic1_loss': 46.360084533691406, 'critic2_loss': 48.0023193359375, 'actor_loss': 40.294593811035156}"
179,729,-1412.0155122838914,14.474011709096388,"{'critic1_loss': 38.28245162963867, 'critic2_loss': 36.213653564453125, 'actor_loss': 40.560951232910156}"
180,582,-1076.3057622946799,3.772661576303186,"{'critic1_loss': 37.302520751953125, 'critic2_loss': 38.67854690551758, 'actor_loss': 38.88697814941406}"
181,676,-1254.8625705577433,22.217293752688477,"{'critic1_loss': 33.79747772216797, 'critic2_loss': 33.596317291259766, 'actor_loss': 43.366844177246094}"
182,611,-1171.868265081197,23.796264317771097,"{'critic1_loss': 19.951255798339844, 'critic2_loss': 20.434568405151367, 'actor_loss': 40.47477722167969}"
183,658,-1265.0939398296177,4.222660973678924,"{'critic1_loss': 33.111534118652344, 'critic2_loss': 33.859947204589844, 'actor_loss': 42.987342834472656}"
184,820,-1566.7981894947588,2.758516077024183,"{'critic1_loss': 36.006370544433594, 'critic2_loss': 38.63236999511719, 'actor_loss': 43.31577682495117}"
185,790,-1423.266453973949,15.89412878335441,"{'critic1_loss': 25.719730377197266, 'critic2_loss': 24.65023422241211, 'actor_loss': 42.09044647216797}"
186,722,-1396.9051491506398,-9.448224950672087,"{'critic1_loss': 31.40613555908203, 'critic2_loss': 37.22047424316406, 'actor_loss': 43.749717712402344}"
187,556,-656.5771487392485,7.679530851780829,"{'critic1_loss': 35.839927673339844, 'critic2_loss': 32.83189392089844, 'actor_loss': 45.29344940185547}"
188,669,-1240.062855180353,11.081138335781676,"{'critic1_loss': 48.06228256225586, 'critic2_loss': 48.27099609375, 'actor_loss': 43.579566955566406}"
189,690,-1261.9355911947787,3.0182240930949753,"{'critic1_loss': 27.029138565063477, 'critic2_loss': 30.830095291137695, 'actor_loss': 42.05776596069336}"
190,645,-1168.542695786804,12.115297862633701,"{'critic1_loss': 38.313514709472656, 'critic2_loss': 38.549583435058594, 'actor_loss': 43.646697998046875}"
191,757,-1502.2331608869135,-2.5025903890246757,"{'critic1_loss': 40.62474060058594, 'critic2_loss': 39.210960388183594, 'actor_loss': 40.127418518066406}"
192,739,-1398.3608353994787,11.756507907508276,"{'critic1_loss': 37.33675003051758, 'critic2_loss': 36.587623596191406, 'actor_loss': 46.31110382080078}"
193,777,-1568.5591063909233,12.120681840508635,"{'critic1_loss': 37.14754104614258, 'critic2_loss': 36.03607940673828, 'actor_loss': 44.330657958984375}"
194,627,-1217.4532490558922,13.342064648921703,"{'critic1_loss': 19.337841033935547, 'critic2_loss': 21.53020477294922, 'actor_loss': 43.86081314086914}"
195,755,-1472.7291805930436,-6.211690970009724,"{'critic1_loss': 23.34426498413086, 'critic2_loss': 22.638607025146484, 'actor_loss': 42.50376892089844}"
196,688,-1268.0604429356754,11.776736126185236,"{'critic1_loss': 25.14496612548828, 'critic2_loss': 26.804311752319336, 'actor_loss': 45.989112854003906}"
197,803,-1717.992924977094,3.0181748818015635,"{'critic1_loss': 47.79227828979492, 'critic2_loss': 49.776458740234375, 'actor_loss': 44.059783935546875}"
198,916,-1697.3411304838955,-4.471499220442904,"{'critic1_loss': 24.434707641601562, 'critic2_loss': 24.627330780029297, 'actor_loss': 44.17951965332031}"
199,651,-1171.0874413587153,12.208836966906139,"{'critic1_loss': 52.333011627197266, 'critic2_loss': 49.98981475830078, 'actor_loss': 43.79325866699219}"
200,675,-1380.0590447671711,14.138359224467505,"{'critic1_loss': 54.5738525390625, 'critic2_loss': 53.914485931396484, 'actor_loss': 45.819271087646484}"
201,692,-1356.3756028153002,7.933002064215888,"{'critic1_loss': 25.410053253173828, 'critic2_loss': 25.131431579589844, 'actor_loss': 45.68824005126953}"
202,606,-1122.4137485288084,19.81404542553835,"{'critic1_loss': 19.303964614868164, 'critic2_loss': 18.701839447021484, 'actor_loss': 45.34071350097656}"
203,770,-1603.9921879209578,9.709021200365958,"{'critic1_loss': 26.569494247436523, 'critic2_loss': 25.477380752563477, 'actor_loss': 46.7994270324707}"
204,770,-1532.8156057335436,-6.617186204561343,"{'critic1_loss': 26.542783737182617, 'critic2_loss': 23.991483688354492, 'actor_loss': 48.120262145996094}"
205,688,-1342.7631371356547,7.093168527854445,"{'critic1_loss': 40.14495086669922, 'critic2_loss': 41.962013244628906, 'actor_loss': 47.88988494873047}"
206,672,-1274.7555336616933,17.242555617744156,"{'critic1_loss': 60.46765899658203, 'critic2_loss': 60.605072021484375, 'actor_loss': 43.5832633972168}"
207,635,-1188.5304247625172,20.92424462195056,"{'critic1_loss': 66.4822998046875, 'critic2_loss': 62.782012939453125, 'actor_loss': 46.00136947631836}"
208,647,-1257.3809340782464,-2.0285869747472605,"{'critic1_loss': 28.105052947998047, 'critic2_loss': 27.283456802368164, 'actor_loss': 47.85090637207031}"
209,770,-1551.4780686236918,10.802091437549294,"{'critic1_loss': 53.40591812133789, 'critic2_loss': 54.66340637207031, 'actor_loss': 46.510623931884766}"
210,640,-1256.60982824862,-5.459100149827731,"{'critic1_loss': 41.59088134765625, 'critic2_loss': 42.86225891113281, 'actor_loss': 46.258644104003906}"
211,709,-1313.20872740075,20.813637791166894,"{'critic1_loss': 45.645851135253906, 'critic2_loss': 43.793968200683594, 'actor_loss': 47.200111389160156}"
212,768,-1559.9195776693523,13.977714094852086,"{'critic1_loss': 16.853317260742188, 'critic2_loss': 19.180011749267578, 'actor_loss': 48.39344024658203}"
213,632,-1151.803845975548,17.274162508496605,"{'critic1_loss': 33.12664794921875, 'critic2_loss': 32.830142974853516, 'actor_loss': 50.30779266357422}"
214,748,-1500.9020358808339,-4.954741556978259,"{'critic1_loss': 55.10485076904297, 'critic2_loss': 52.194129943847656, 'actor_loss': 47.27492904663086}"
215,761,-1391.2673841454089,-2.990629041891855,"{'critic1_loss': 58.98551940917969, 'critic2_loss': 56.2099723815918, 'actor_loss': 45.65831756591797}"
216,611,-1070.3410794325173,20.787854041977916,"{'critic1_loss': 25.535226821899414, 'critic2_loss': 26.701539993286133, 'actor_loss': 48.005218505859375}"
217,711,-1454.411780897528,6.190967122522362,"{'critic1_loss': 42.40592575073242, 'critic2_loss': 43.98503875732422, 'actor_loss': 45.332759857177734}"
218,655,-1313.076865810901,10.062688740355638,"{'critic1_loss': 23.48114776611328, 'critic2_loss': 24.30001449584961, 'actor_loss': 49.3026008605957}"
219,590,-681.7388812787831,6.876207763516072,"{'critic1_loss': 31.622230529785156, 'critic2_loss': 27.997228622436523, 'actor_loss': 48.1807861328125}"
220,611,-1147.6871293187141,21.48716222425019,"{'critic1_loss': 16.169696807861328, 'critic2_loss': 15.833688735961914, 'actor_loss': 50.107261657714844}"
221,613,-1131.0178321488202,16.621618895982138,"{'critic1_loss': 16.169696807861328, 'critic2_loss': 15.833688735961914, 'actor_loss': 50.107261657714844}"
222,558,-645.2397436834872,11.982721954233941,"{'critic1_loss': 33.8143310546875, 'critic2_loss': 32.0191764831543, 'actor_loss': 49.446781158447266}"
223,591,-805.7136053107679,3.4252838434890727,"{'critic1_loss': 39.59110641479492, 'critic2_loss': 41.28839111328125, 'actor_loss': 48.17158126831055}"
