Episode,Global step,Critic1 Loss,Critic2 Loss,Actor Loss
19,1007,253.5917205810547,249.8805694580078,
19,2014,138.47589111328125,128.65513610839844,7.4288153648376465
19,3002,102.52960205078125,95.49375915527344,12.063577651977539
19,4009,70.23655700683594,69.00228881835938,17.58652114868164
19,5016,59.590972900390625,55.85570526123047,19.840879440307617
19,6004,52.01416015625,43.11516571044922,21.237192153930664
19,7011,48.54217529296875,45.226837158203125,21.187265396118164
19,8018,52.18711853027344,43.089317321777344,22.973766326904297
19,9006,37.56456756591797,42.17685317993164,22.998926162719727
19,10013,35.65985107421875,37.44249725341797,24.71923828125
19,11001,39.75958251953125,34.71592712402344,25.04480743408203
19,12008,44.74191665649414,42.73823547363281,24.204233169555664
19,13015,45.16801834106445,41.19733428955078,23.994253158569336
33,14003,34.55841064453125,31.26987648010254,24.19501495361328
38,15010,34.054100036621094,33.5183219909668,24.244888305664062
38,16017,51.006317138671875,47.638763427734375,25.14322853088379
38,17005,38.474700927734375,35.22454071044922,26.041549682617188
38,18012,51.215633392333984,48.13096618652344,26.829423904418945
38,19000,38.813148498535156,41.47466278076172,27.442541122436523
38,20007,39.97266387939453,40.834205627441406,27.23662567138672
38,21014,46.96277618408203,47.48344421386719,26.40550994873047
38,22002,35.81377410888672,36.3906364440918,28.881872177124023
38,23009,53.01793670654297,55.25991439819336,28.934965133666992
38,24016,55.094459533691406,49.64225769042969,28.521820068359375
38,25004,41.44270706176758,46.233428955078125,31.698606491088867
49,26011,50.27075958251953,46.767364501953125,31.26139259338379
57,27018,50.07740020751953,47.80476379394531,30.092269897460938
57,28006,45.75072479248047,47.35305404663086,34.486427307128906
57,29013,50.189788818359375,49.457298278808594,32.80892562866211
57,30001,52.86701965332031,54.33949279785156,32.339290618896484
57,31008,53.411617279052734,56.97016906738281,32.75218963623047
57,32015,55.116172790527344,58.454166412353516,34.579524993896484
57,33003,68.95162200927734,64.1388168334961,37.234962463378906
57,34010,62.66340255737305,63.2480354309082,35.94436264038086
57,35017,62.967926025390625,62.42211151123047,37.19880294799805
57,36005,66.96673583984375,61.37876892089844,39.24895477294922
68,37012,60.42084503173828,64.08866119384766,39.23359298706055
71,38000,59.23155975341797,65.42188262939453,39.66499328613281
76,39007,59.08921813964844,65.10699462890625,39.427093505859375
76,40014,52.54969787597656,57.75049591064453,43.97442626953125
76,41002,60.879119873046875,62.81656265258789,41.34339141845703
76,42009,63.590576171875,57.73643493652344,43.70588684082031
76,43016,57.65824508666992,55.77483367919922,42.281898498535156
76,44004,57.18842315673828,61.9840087890625,45.40906524658203
76,45011,72.334228515625,72.76847839355469,42.79409408569336
76,46018,63.88744354248047,58.86743927001953,45.59400177001953
76,47006,78.78059387207031,74.2691421508789,44.03813171386719
76,48013,66.4481430053711,68.3764419555664,46.4798469543457
76,49001,73.51872253417969,69.9308090209961,47.46599197387695
76,50008,79.28751373291016,75.40617370605469,46.687347412109375
90,51015,61.185604095458984,65.79863739013672,47.97770690917969
95,52003,80.0013656616211,68.11917114257812,48.47486877441406
95,53010,78.70005798339844,87.16822052001953,47.66519546508789
95,54017,74.88705444335938,82.15509033203125,48.526458740234375
95,55005,80.17609405517578,85.22726440429688,52.21107864379883
95,56012,67.57099151611328,67.40977478027344,49.94556427001953
95,57000,72.13475036621094,81.94486999511719,51.56417465209961
95,58007,65.65861511230469,78.16500854492188,54.6167106628418
95,59014,74.58773803710938,73.49524688720703,53.73760986328125
95,60002,83.96994018554688,76.53986358642578,54.47844314575195
101,61009,80.9222183227539,76.23031616210938,56.891319274902344
109,62016,79.24701690673828,84.2581787109375,56.3846549987793
109,63004,68.5244369506836,71.56031036376953,57.0366096496582
114,64011,73.49490356445312,65.28048706054688,57.31195068359375
114,65018,71.4893569946289,71.5683822631836,57.103851318359375
114,66006,78.41898345947266,98.26000213623047,59.71590805053711
114,67013,85.25300598144531,88.81607055664062,57.66371154785156
114,68001,80.43829345703125,86.95524597167969,57.58633804321289
114,69008,76.41320037841797,81.8424301147461,60.28794860839844
114,70015,70.35655212402344,76.88338470458984,60.194496154785156
114,71003,73.40092468261719,72.24728393554688,60.8250732421875
120,72010,78.92581176757812,85.93379211425781,62.329769134521484
128,73017,79.42462158203125,74.2053451538086,61.287593841552734
128,74005,87.33354949951172,81.94939422607422,63.411903381347656
128,75012,78.7928695678711,83.68119812011719,63.0040397644043
133,76000,81.40562438964844,80.67909240722656,65.84858703613281
133,77007,77.1369857788086,84.92211151123047,64.35743713378906
133,78014,84.26919555664062,78.8069839477539,64.97660064697266
133,79002,89.440185546875,92.01544952392578,66.95942687988281
133,80009,83.56440734863281,99.92094421386719,66.46810150146484
133,81016,74.78468322753906,72.98385620117188,66.39702606201172
139,82004,98.45269775390625,102.50721740722656,68.28082275390625
147,83011,80.55593872070312,85.57907104492188,67.27880096435547
147,84018,76.65457153320312,85.30590057373047,69.82115936279297
147,85006,74.89627075195312,76.51026916503906,68.99606323242188
152,86013,76.21149444580078,76.3861312866211,69.96456909179688
152,87001,78.08042907714844,78.52115631103516,69.67875671386719
